25268_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3015, 3044, 3046 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25269_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3034, 3034, 3037 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25270_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2984, 3071, 3050 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25271_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3009, 3051, 3045 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25272_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2988, 3074, 3043 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25273_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2965, 3097, 3043 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25274_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3033, 3033, 3039 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25275_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2971, 3095, 3039 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25276_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3034, 3034, 3037 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25277_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3007, 3057, 3041 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25278_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2986, 3077, 3042 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25279_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3019, 3043, 3043 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
